CÓDIGO;Tipología ORG
NS-0001;TIPO A
NS-0002;TIPO A
NS-0003;TIPO C
NS-0004;TIPO A
NS-0005;TIPO A
NS-0006;TIPO A
NS-0007;TIPO A
NS-0008;TIPO C
NS-0009;TIPO A
NS-0010;TIPO A
NS-0011;TIPO A
NS-0012;TIPO A
NS-0013;TIPO A
NS-0014;TIPO A
NS-0015;TIPO A
NS-0016;TIPO A
NS-0017;TIPO A
NS-0018;TIPO A
NS-0019;TIPO A
NS-0020;TIPO A
NS-0021;TIPO A
NS-0022;TIPO A
NS-0023;TIPO A
NS-0024;TIPO A
NS-0025;TIPO A
NS-0026;TIPO A
NS-0027;TIPO A
NS-0028;TIPO A
NS-0029;TIPO A
NS-0030;TIPO A
NS-0031;TIPO A
NS-0921;TIPO A
NS-0356;TIPO A
NS-0531;TIPO A
NS-1038;TIPO A
NS-1039;TIPO A
NS-1048;TIPO A
NS-0918;TIPO A
NS-0920;TIPO A
CH-0085;TIPO A
CH-0086;TIPO C
CH-0087;TIPO A
CH-0088;TIPO A
CH-0089;TIPO A
CH-0090;TIPO C
CH-0091;TIPO C
CH-0092;TIPO A
CH-0093;TIPO C
CH-0094;TIPO A
CH-0095;TIPO C
CH-0096;TIPO A
CH-0097;TIPO C
CH-0098;TIPO C
CH-0099;TIPO A
CH-0100;TIPO A
CH-0101;TIPO A
CH-0102;TIPO A
CH-0103;TIPO A
CH-0104;TIPO A
CH-0105;TIPO A
CH-0106;TIPO A
CH-0107;TIPO A
CH-0108;TIPO A
CH-0109;TIPO A
CH-0110;TIPO A
CH-0111;TIPO A
CH-0112;TIPO A
CH-0113;TIPO A
CH-0114;TIPO A
CH-0115;TIPO A
CH-0116;TIPO A
CH-0117;TIPO A
CH-0118;TIPO A
CH-0119;TIPO A
CH-0120;TIPO A
CH-0121;TIPO A
CH-0122;TIPO A
CH-0124;TIPO A
CH-0125;TIPO A
CH-0126;TIPO A
CH-0127;TIPO A
CH-0128;TIPO A
CH-0129;TIPO A
CH-0130;TIPO A
CH-0131;TIPO A
CH-0132;TIPO A
CH-0133;TIPO A
CH-0134;TIPO A
CH-0135;TIPO B
CH-0136;TIPO B
CH-0137;TIPO A
CH-0138;TIPO A
CH-0139;TIPO A
CH-0140;TIPO A
CH-0141;TIPO A
CH-0142;TIPO A
CH-0143;TIPO A
CH-0144;TIPO A
CH-0145;TIPO A
CH-0146;TIPO A
CH-0147;TIPO A
CH-0148;TIPO A
CH-0149;TIPO A
CH-0150;TIPO A
CH-0151;TIPO A
CH-0152;TIPO A
CH-0153;TIPO A
CH-0154;TIPO A
CH-0155;TIPO A
CH-0156;TIPO A
CH-0157;TIPO A
CH-0158;TIPO A
CH-0159;TIPO A
CH-0160;TIPO A
CH-0161;TIPO A
CH-0162;TIPO A
CH-0163;TIPO A
CH-0164;TIPO A
CH-0165;TIPO A
CH-0166;TIPO A
CH-0167;TIPO A
CH-0168;TIPO A
CH-0169;TIPO A
CH-0170;TIPO A
CH-0171;TIPO A
CH-0172;TIPO A
CH-0173;TIPO A
CH-0174;TIPO A
CH-0175;TIPO A
CH-0176;TIPO A
CH-0177;TIPO A
CH-0178;TIPO A
CH-0179;TIPO A
CH-0180;TIPO A
CH-0181;TIPO A
CH-0182;TIPO A
CH-0183;TIPO A
CH-0184;TIPO A
CH-0185;TIPO A
CH-0186;TIPO A
CH-0187;TIPO A
CH-0188;TIPO A
CH-0189;TIPO C
